Course Code,Course Name,Learner ID,Department,Assigned On,Started,Completion Status,Progress %,Score,Assessment Passed,Completed On,Due Date
cyber-aware-2026q1,Cyber Awareness 2026,L00079,Marketing,12/01/2026,1,Completed,100%,71.9,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00080,Technology,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00081,Sales,12/01/2026,1,Completed,100%,73.4,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00082,Technology,12/01/2026,1,Completed,100%,90.0,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00083,Marketing,12/01/2026,1,Completed,100%,84.9,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00084,Technology,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00085,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00086,Technology,12/01/2026,1,Completed,100%,86.8,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00087,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00088,Marketing,12/01/2026,1,Completed,100%,71.4,Yes,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00089,HR,12/01/2026,1,Completed,100%,77.7,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00090,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00091,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00092,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00093,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00094,Technology,12/01/2026,1,Completed,100%,78.1,Yes,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00095,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00096,Technology,12/01/2026,1,Completed,100%,89.6,Yes,03/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00097,Operations,12/01/2026,1,Completed,100%,76.2,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00098,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00099,HR,12/01/2026,1,Completed,100%,86.4,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00100,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00101,Manufacturing,12/01/2026,1,Completed,100%,75.9,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00102,HR,12/01/2026,1,Completed,100%,76.7,Yes,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00103,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00104,Technology,12/01/2026,1,Completed,100%,82.0,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00105,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00106,Operations,12/01/2026,1,Completed,100%,66.2,No,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00107,Marketing,12/01/2026,1,Completed,100%,73.7,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00108,Finance,12/01/2026,1,Completed,100%,68.3,No,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00109,Technology,12/01/2026,1,Completed,100%,93.5,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00110,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00111,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00112,Finance,12/01/2026,1,Completed,100%,94.7,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00113,Operations,12/01/2026,1,Completed,100%,96.1,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00114,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00115,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00116,Legal,12/01/2026,1,Completed,100%,67.6,No,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00117,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00118,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00119,Manufacturing,12/01/2026,1,Completed,100%,76.0,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00120,Finance,12/01/2026,1,Completed,100%,80.9,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00121,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00122,Technology,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00123,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00124,Operations,12/01/2026,1,In Progress,55%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00125,HR,12/01/2026,1,Completed,100%,68.4,No,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00126,Finance,12/01/2026,1,Completed,100%,92.5,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00127,Finance,12/01/2026,1,Completed,100%,71.6,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00128,Operations,12/01/2026,1,Completed,100%,71.6,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00129,Technology,12/01/2026,1,Completed,100%,92.2,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00130,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00131,Manufacturing,12/01/2026,1,Completed,100%,84.4,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00132,Marketing,12/01/2026,1,Completed,100%,85.2,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00133,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00134,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00135,HR,12/01/2026,1,Completed,100%,74.4,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00136,Finance,12/01/2026,1,Completed,100%,73.9,Yes,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00137,Manufacturing,12/01/2026,1,Completed,100%,98.8,Yes,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00138,Sales,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00139,Operations,12/01/2026,1,In Progress,85%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00140,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00141,HR,12/01/2026,1,Completed,100%,83.4,Yes,03/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00142,Operations,12/01/2026,1,Completed,100%,75.8,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00143,Manufacturing,12/01/2026,1,Completed,100%,100.0,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00144,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00145,Technology,12/01/2026,1,Completed,100%,85.7,Yes,03/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00146,Manufacturing,12/01/2026,1,Completed,100%,81.7,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00147,Technology,12/01/2026,1,Completed,100%,80.9,Yes,03/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00148,Marketing,12/01/2026,1,Completed,100%,67.6,No,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00149,Technology,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00150,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00151,Technology,12/01/2026,1,Completed,100%,91.6,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00152,Technology,12/01/2026,1,Completed,100%,82.1,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00153,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00154,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00155,Marketing,12/01/2026,1,Completed,100%,85.1,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00156,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00157,Operations,12/01/2026,1,Completed,100%,71.4,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00158,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00159,Sales,12/01/2026,1,Completed,100%,80.8,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00160,Operations,12/01/2026,1,Completed,100%,87.3,Yes,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00161,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00162,Sales,12/01/2026,1,Completed,100%,86.1,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00163,Marketing,12/01/2026,1,In Progress,55%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00164,Marketing,12/01/2026,1,Completed,100%,69.9,No,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00165,Operations,12/01/2026,1,Completed,100%,84.4,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00166,Manufacturing,12/01/2026,1,Completed,100%,82.1,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00167,Legal,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00168,Legal,12/01/2026,1,Completed,100%,75.9,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00169,Operations,12/01/2026,1,Completed,100%,67.7,No,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00170,Manufacturing,12/01/2026,1,In Progress,10%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00171,HR,12/01/2026,1,Completed,100%,83.0,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00172,Sales,12/01/2026,1,Completed,100%,77.1,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00173,Manufacturing,12/01/2026,1,In Progress,25%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00174,Technology,12/01/2026,1,Completed,100%,90.3,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00175,HR,12/01/2026,1,Completed,100%,77.2,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00176,Technology,12/01/2026,1,Completed,100%,95.6,Yes,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00177,Technology,12/01/2026,1,Completed,100%,82.0,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00178,Sales,12/01/2026,1,Completed,100%,100.0,Yes,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00179,Marketing,12/01/2026,1,Completed,100%,90.7,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00180,Legal,12/01/2026,1,In Progress,55%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00181,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00182,Sales,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00183,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00184,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00185,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00186,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00187,Marketing,12/01/2026,1,Completed,100%,78.9,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00188,Technology,12/01/2026,1,Completed,100%,89.0,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00189,Legal,12/01/2026,1,Completed,100%,87.7,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00190,Marketing,12/01/2026,1,Completed,100%,73.1,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00191,Finance,12/01/2026,1,Completed,100%,92.6,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00192,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00193,Operations,12/01/2026,1,Completed,100%,77.4,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00194,Technology,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00195,Finance,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00196,Manufacturing,12/01/2026,1,Completed,100%,88.4,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00197,Technology,12/01/2026,1,Completed,100%,82.9,Yes,03/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00198,Manufacturing,12/01/2026,1,Completed,100%,78.6,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00199,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00200,Manufacturing,12/01/2026,1,In Progress,40%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00201,Technology,12/01/2026,1,Completed,100%,88.6,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00202,Technology,12/01/2026,1,Completed,100%,76.1,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00203,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00204,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00205,Sales,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00206,Technology,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00207,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00208,Sales,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00209,Technology,12/01/2026,1,Completed,100%,84.7,Yes,03/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00210,Operations,12/01/2026,1,Completed,100%,81.0,Yes,23/02/2026,28/02/2026
